Date,Open,High,Low,Close,Adj Close,Volume
2023-05-20,91.711212,92.682510,90.824493,92.371315,92.371315,306548115
2023-05-21,92.377602,93.296150,91.468597,92.278870,92.278870,365938794
2023-05-22,92.277184,92.659637,90.364304,90.946075,90.946075,396591248
2023-05-23,90.948753,92.988068,90.690895,91.632332,91.632332,384556801
2023-05-24,91.636017,91.792946,85.111000,86.000366,86.000366,771426876
2023-05-25,85.984688,86.601036,83.532440,86.600677,86.600677,561109959
2023-05-26,86.603630,88.043518,86.279793,87.268066,87.268066,518267207
2023-05-27,87.256149,88.784302,87.064369,88.650314,88.650314,306057058
2023-05-28,88.649071,92.158066,88.338821,91.579964,91.579964,448657302
2023-05-29,91.578270,92.102997,90.407570,91.000458,91.000458,415109197
2023-05-30,90.996735,93.118324,90.729164,92.326111,92.326111,455802742
2023-05-31,92.322708,92.588692,88.349831,90.539009,90.539009,567208418
2023-06-01,90.537476,95.643593,89.662918,93.972336,93.972336,961609681
2023-06-02,93.996170,95.526382,93.176521,95.417747,95.417747,567841812
2023-06-03,95.416916,97.177094,94.367722,95.993134,95.993134,477888613
2023-06-04,95.996979,96.462967,94.268448,94.289917,94.289917,436188890
2023-06-05,94.293243,94.484978,85.063393,87.834602,87.834602,896571627
2023-06-06,87.828613,91.293861,86.102280,90.920715,90.920715,649344540
2023-06-07,90.916183,91.112823,87.903305,88.848389,88.848389,537757007
2023-06-08,88.855042,89.440239,87.454285,88.466560,88.466560,356770854
2023-06-09,88.470039,89.887070,87.376076,89.232033,89.232033,388902174
2023-06-10,89.233452,89.265106,75.292984,77.351707,77.351707,1185675805
2023-06-11,77.349030,78.885406,76.542770,77.698936,77.698936,432046461
2023-06-12,77.695969,77.800247,75.981384,77.548096,77.548096,452560497
2023-06-13,77.545448,79.205063,76.641762,77.443825,77.443825,440462157
2023-06-14,77.443779,78.058868,72.023109,73.163292,73.163292,490434416
2023-06-15,73.166046,74.978279,72.256889,74.526436,74.526436,402537213
2023-06-16,74.528152,76.664001,74.237961,76.049126,76.049126,352725567
2023-06-17,76.053062,77.654831,75.801025,76.912415,76.912415,273568501
2023-06-18,76.908684,78.434631,76.503403,77.178253,77.178253,274352131
2023-06-19,77.179764,77.632034,76.355797,77.422028,77.422028,293010032
2023-06-20,77.425720,80.652405,76.015526,80.308899,80.308899,437548832
2023-06-21,80.307419,87.154671,80.134224,85.147743,85.147743,814693890
2023-06-22,85.150505,88.695511,84.866455,86.070221,86.070221,606189402
2023-06-23,86.064316,92.427979,85.435600,91.209457,91.209457,755797463
2023-06-24,91.211723,93.158730,87.156143,89.744026,89.744026,666550721
2023-06-25,89.740479,90.314201,87.130508,88.275169,88.275169,487211798
2023-06-26,88.267952,89.903084,86.416504,87.275703,87.275703,548434353
2023-06-27,87.272263,89.374290,87.055740,87.998276,87.998276,420226149
2023-06-28,88.015442,88.052437,82.127510,83.061150,83.061150,556606414
2023-06-29,83.057808,85.658569,83.042068,84.775871,84.775871,395849863
2023-06-30,84.768753,110.795258,84.589302,108.165329,108.165329,3377766238
2023-07-01,108.201744,111.757408,104.695824,107.229202,107.229202,1853573626
2023-07-02,107.225952,113.627121,105.709061,113.217293,113.217293,1783628932
2023-07-03,113.231705,114.497063,105.973068,106.945770,106.945770,1154666410
2023-07-04,106.954147,109.161324,104.710991,104.710991,104.710991,795208399
2023-07-05,104.690018,106.271797,99.395523,102.693993,102.693993,1061933634
2023-07-06,102.677605,105.512474,95.667229,95.667229,95.667229,1197521335
2023-07-07,95.646278,98.382378,95.095688,98.242477,98.242477,703059439
2023-07-08,98.242294,98.380211,96.918228,97.874779,97.874779,417911861
2023-07-09,97.878448,98.306923,95.061836,95.179550,95.179550,412735847
2023-07-10,95.182213,97.641098,92.892586,96.731346,96.731346,801346663
2023-07-11,96.737701,98.120026,95.815361,96.786438,96.786438,584873947
2023-07-12,96.785233,97.753258,94.788307,96.280182,96.280182,502089267
2023-07-13,96.277916,104.019463,95.792992,101.927139,101.927139,1243581127
2023-07-14,101.926170,103.237434,92.939896,95.158661,95.158661,994506743
2023-07-15,95.161530,95.655182,94.186653,94.751808,94.751808,405906202
2023-07-16,94.757256,95.223877,92.756210,92.905281,92.905281,412440907
2023-07-17,92.910645,93.522675,90.334137,92.293449,92.293449,581572145
2023-07-18,92.290169,92.861053,90.163666,91.503220,91.503220,444675473
2023-07-19,91.515007,94.061165,91.515007,92.161797,92.161797,479778485
2023-07-20,92.153465,93.480644,91.681442,92.382057,92.382057,558800999
2023-07-21,92.384041,94.605263,91.963257,94.051865,94.051865,454489403
2023-07-22,94.048172,96.151344,91.718018,92.051514,92.051514,442970678
2023-07-23,92.062996,93.477180,91.820366,93.258865,93.258865,361401131
2023-07-24,93.249336,93.249336,88.219017,89.153465,89.153465,558656341
2023-07-25,89.155029,89.976944,88.857826,89.531403,89.531403,369676148
2023-07-26,89.530930,90.970200,88.949051,90.621422,90.621422,411401840
2023-07-27,90.626953,91.728279,89.925934,90.493767,90.493767,393733970
2023-07-28,90.493202,91.894402,90.493202,91.530571,91.530571,341018407
2023-07-29,91.519188,94.715752,90.966751,94.598091,94.598091,357766274
2023-07-30,94.570419,95.692551,92.211288,94.091057,94.091057,764611368
2023-07-31,94.089333,94.822273,91.647667,92.243134,92.243134,526612463
2023-08-01,92.244263,93.820404,89.788010,93.820404,93.820404,775320147
2023-08-02,93.818504,94.313004,86.918282,87.489059,87.489059,899573748
2023-08-03,87.491722,88.226563,82.696236,82.707794,82.707794,661629539
2023-08-04,82.693336,83.706123,81.506645,82.078911,82.078911,574898134
2023-08-05,82.086472,83.297775,81.581238,83.105591,83.105591,266995799
2023-08-06,83.100288,83.368553,82.089241,82.471703,82.471703,261949686
2023-08-07,82.470978,83.219833,80.512093,82.344521,82.344521,369980930
2023-08-08,82.342690,85.110458,81.824829,83.956894,83.956894,464971615
2023-08-09,83.954514,84.427437,83.299500,84.037209,84.037209,1086009763
2023-08-10,84.038338,84.278816,82.701035,83.033470,83.033470,273793336
2023-08-11,83.034775,83.527885,82.719955,83.495865,83.495865,210777034
2023-08-12,83.494972,83.857224,83.344505,83.448524,83.448524,187648883
2023-08-13,83.450485,83.615974,81.651932,81.978035,81.978035,268437601
2023-08-14,81.979042,82.973045,81.669762,82.068581,82.068581,262059229
2023-08-15,82.068230,82.109108,78.763145,79.273750,79.273750,401918865
2023-08-16,79.276230,79.457489,73.629234,74.478859,74.478859,622966364
2023-08-17,74.479179,75.666794,61.756107,65.085762,65.085762,785297656
2023-08-18,65.094193,65.764481,63.732040,64.082916,64.082916,571194825
2023-08-19,64.085136,64.895279,63.734344,64.103867,64.103867,299693328
2023-08-20,64.107918,65.723625,64.073631,65.252510,65.252510,246734222
2023-08-21,65.251503,67.046448,64.978058,66.958687,66.958687,431113836
2023-08-22,66.958954,67.105316,63.279003,64.770287,64.770287,377574603
2023-08-23,64.773697,66.593552,64.168030,65.610779,65.610779,304886653
2023-08-24,65.612083,65.844902,64.138451,64.879272,64.879272,225372238
2023-08-25,64.881393,65.222832,63.843147,65.111916,65.111916,268487447
2023-08-26,65.112892,65.498466,64.961830,65.010719,65.010719,183821199
2023-08-27,65.010399,65.879028,64.905098,65.367111,65.367111,191462581
2023-08-28,65.367813,65.667580,64.270630,65.542503,65.542503,252050651
2023-08-29,65.541748,70.215546,64.709366,68.892471,68.892471,540744008
2023-08-30,68.893066,68.985382,66.814873,67.659531,67.659531,294424844
2023-08-31,67.660820,68.222328,63.616837,63.951378,63.951378,377755734
2023-09-01,63.946068,64.210144,62.191444,63.007454,63.007454,311070837
2023-09-02,63.009144,64.620071,63.009144,64.560631,64.560631,219217798
2023-09-03,64.563904,64.787521,63.733078,63.938118,63.938118,203377116
2023-09-04,63.936501,64.837280,63.254429,63.708687,63.708687,236821353
2023-09-05,63.713348,63.726978,62.663677,63.123634,63.123634,250002419
2023-09-06,63.118565,63.564030,62.059971,62.843525,62.843525,248375044
2023-09-07,62.843639,64.189995,62.594913,63.622368,63.622368,213292207
2023-09-08,63.626350,64.039047,61.982117,62.576981,62.576981,206394384
2023-09-09,62.578594,63.195698,62.546692,63.081509,63.081509,145767952
